"Object Label","Object Name","Field Label","Field Name","Namespace","Custom","Type","Calculated","Number of Rows","Number of Rows Populated","Percentage of Rows Populated"
"Account","Account","Budget Book Customer","Budget_Book_Customer__c","",True,"boolean",False,1021033,1021033,100.0
"Account","Account","Churn Date - Budget Pro","Churn_Date__c","",True,"date",False,1021033,224,0.021938566138410803
"Account","Account","Facebook URL","Facebook_URL__c","",True,"url",False,1021033,5319,0.520943005759853
"Account","Account","Twitter URL","Twitter_URL__c","",True,"url",False,1021033,641,0.0627795575657202
"Account","Account","LinkedIn URL","LinkedIn_URL__c","",True,"url",False,1021033,633,0.06199603734649124
"Account","Account","Current ERP system","Current_ERP_system__c","",True,"picklist",False,1021033,5993,0.5869545842298927
"Account","Account","Current Budgeting system","Current_Budgeting_system__c","",True,"picklist",False,1021033,4902,0.4801020143325436
"Account","Account","x -- Open Data system","Open_Data_system__c","",True,"picklist",False,1021033,1015637,99.47151561213006
"Account","Account","HR/Payroll system","HR_Payroll_system__c","",True,"picklist",False,1021033,180,0.017629204932651542
"Account","Account","Performance management system","Performance_management_system__c","",True,"picklist",False,1021033,1516,0.14847708154388742
"Account","Account","Pursuit Population","Pursuit_Population__c","",True,"double",False,1021033,33337,3.2650266935544687
"Account","Account","Fiscal Year Start Month","Fiscal_Year_Start_Month__c","",True,"picklist",False,1021033,9151,0.8962491907705236
"Account","Account","Key Size Metric","Key_Size_Metric__c","",True,"picklist",False,1021033,25183,2.4664237101053543
"Account","Account","Key Size Metric Amount","Key_Size_Metric_Amount__c","",True,"double",False,1021033,29845,2.923020117861029
"Account","Account","Online Payment System","Online_Payment_System_CB__c","",True,"string",False,1021033,528,0.051712334469111186
"Account","Account","Partner Account","PartnerAccount__c","",True,"reference",False,1021033,1094,0.10714638997955991
"Account","Account","Sub-Vertical","Sub_Vertical__c","",True,"picklist",False,1021033,100104,9.804188503211943
"Account","Account","x ---CSM - Budget Professional","CS_Account_Rep__c","",True,"string",False,1021033,1327,0.1299664163646033
"Account","Account","CS Account Salesperson","CS_Account_Salesperson__c","",True,"string",False,1021033,939,0.09196568573199887
"Account","Account","CS Account PM","CS_Account_PM__c","",True,"string",False,1021033,1113,0.10900725050022868
"Account","Account","CS Account AmityID","CS_Account_AmityID__c","",True,"string",False,1021033,1080,0.10577522959590924
"Account","Account","x -- Customer Since Budget Professional","CS_Account_CustomerSince__c","",True,"date",False,1021033,1108,0.10851755036321059
